"tweet_id","tweet_text","yes","no","dont_know","review_accepts","review_rejects","agreed","should_be_added"
"852096737699397632","@ITJobStar_NL tweeted: Senior Java developer Delft Spilberg Delft https://t.co/W8xtumjIAj #Delft #ict #vacature",0,0,0,0,0,true,false
"852092722823430146","@_Delft tweeted: Vrij baan voor bouw onder Nieuwe Kerk #Delft De bouw van een ontvangstruimte onder de Nieuwe Kerk in #Delft mag do… https://t.co/XsRCjdutDU",0,0,0,0,0,true,false
"852088883873558528","@mvandm tweeted: RT @_Delft: TU #Delft bedekt robotarm met sensorhuid De TU #Delft heeft samen met andere organisaties een robotarm volledig va… https://t.c…",0,0,0,0,0,true,false
"852085134732013569","@Kamers_Delft tweeted: Kamer in #Delft, Kuyperweg (12m2, €295) https://t.co/aHM0sxP5il #kamer #kamernet",0,0,0,0,0,true,false
"852083636220252160","@Joofvacature tweeted: Vacature: Online marketing &amp; Social media bijbaan student in Den Haag (vanuit huis werken) https://t.co/5oNgxhHF4n #delft #vacature #banen",0,0,0,0,0,true,false
"852079165532721156","@churchatworknl tweeted: RT @_Delft: Bouw ontvangstruimte onder Nieuwe Kerk #Delft mag doorgaan Het college van burgemeester en wethouders van Delft mo… https://t.c…",0,0,0,0,0,true,false
"852072580857159680","@zomakelaars tweeted: Overdracht #parterre #delft #hugodegrootstraat https://t.co/WrBVSrqJZV",0,0,0,0,0,true,false
"852067590440615936","@_Delft tweeted: Robecom BV failliet verklaard Robecom BV uit #Delft is op 11 april 2017 in staat van faillissement gesteld door de… https://t.co/5kC6hPa3s9",0,0,0,0,0,true,false
"852068780301836288","@Kamers_Delft tweeted: Kamer in #Delft, Aan 't Verlaat (11m2, €400) https://t.co/uSPZGusYAV #kamer #kamernet",0,0,0,0,0,true,false
"852060997498130433","@nieuws_delft tweeted: Rijstroken A4 bij Den Haag dicht door #ongeluk https://t.co/KyzRUvDgLC #delft",0,0,0,0,0,true,false
"852056084948955137","@Ans__Aarsema tweeted: RT @POL_DenHaag: Herkent u de daders van beroving en mishandeling in nachttrein naar #Delft? Bel 0800-6070 of anoniem 0800-7000 \nhttps://t.…",0,0,0,0,0,true,false
"852036729108217856","@p2000alarm_nl tweeted: #Delft / P 1 Brandmelding OMS (VK: 7) Stadskantoor gemeente Delft Stationsplein 3 A DLT 5530 / https://t.co/QI0hlkGqj4",0,0,0,0,0,true,false
"852048168002789377","@Technicus_nl tweeted: #Vacature #Delft @vnomrotterdam | Zelfstandige Installatiemonteur: Wij zijn op zoek naar meerdere ervaren…… https://t.co/xHkSw2txnz",0,0,0,0,0,true,false
"852083642675232769","@Joofvacature tweeted: Vacature: Schoonmaakmedewerker, Den Haag https://t.co/HOxKWPB1hl #delft #vacature #banen",0,0,0,0,0,true,false
