"tweet_id","tweet_text","yes","no","dont_know"
"850973671447547904","@_Delft tweeted: Zaterdag 1B: #Vitesse #Delft pakt op valreep één punt tegen Deltasport Het op een veilige zesde stek staande Delta… https://t.co/AaZrjDoEtL",0,0,0
"850874660451438592","@jobbirdjobs tweeted: #dts #vacature #delft Onderhoudsschilder gezocht! https://t.co/bDwFTnr2SC",0,0,0
"850981181533421568","@_Delft tweeted: #Delft - Recherche onderzoekt autobranden De recherche van politiebureau #Delft onderzoekt autobranden die in de n… https://t.co/IGNOvu5qtA",0,0,0
"850989501686198272","@eropuitWestland tweeted: RT @PietervForeest: #wereld #Parkinsondag 11april  #informatiemarkt #PietersBehandelPraktijk #Naaldwijk #Thuiszorgwinkel #Delft https://t.c…",0,0,0
"851004788187713537","@winkeljobs tweeted: #Vacature Bijbaan als broodmedewerker bij Dirk Delft in #Delft - Dirk #Bijbaan Zie: https://t.co/KaXGBYOkFA",0,0,0
"850968270089986048","@DuitsP tweeted: RT @regio15: Meerdere auto’s in brand in #Delft #Nijverheidsstraat #Vorrinkplein https://t.co/gEImsdltAz https://t.co/DmPDvLxhx7",0,0,0
"850972614306795520","@SiobhanvGordon tweeted: The Distribution of Dutch Delftware https://t.co/X2PepU0SCs via @RobertDAronson very interesting article #aronson #Delft #Dutch #delfware",0,0,0
"850947114641260545","@__Surrealism__ tweeted: RT @surwdb: Het Kalf  Surrealist Collaboration 2009 #surrealism #surrealisme #Schiedam  #Delft #NewYork  https://t.co/0xrJ8q2QmC",0,0,0
"850845326172925953","@_Delft tweeted: Meerdere auto´s in de brand in een korte tijd Vorrinkplein #Delft Zondagmorgen 8 april omstreeks 00.15 uur werd er… https://t.co/BCoqU0lOKU",0,0,0
"850981412383715329","@Delft20 tweeted: Delft - Recherche onderzoekt autobranden (Politie), zie https://t.co/AQeP5p2PGJ #Delft",0,0,0
"850993097291051008","@CcarEvent tweeted: RT @daveschardijn: Geniet van een heerlijk Paas brunch! #Pasen #A20 #A13 010-7999099 #Rotterdam #Delft #DenHaag #april https://t.co/HSM9C6g…",0,0,0
"851002216735535104","@Vlaardingen24 tweeted: @DVO32Selectie #Vlaardingen wint van Concordia uit #Delft https://t.co/3P8RQkbPvJ",0,0,0
"850963037678972929","@AnitaHoevenaar tweeted: RT @regio15: Meerdere auto’s in brand in #Delft #Nijverheidsstraat #Vorrinkplein https://t.co/gEImsdltAz https://t.co/DmPDvLxhx7",0,0,0
"850966055459704832","@_Delft tweeted: Gehavend Deltasport krijgt te weinig Een gehavend Deltasport heeft tegen #Vitesse #Delft veel te weinig gekregen. … https://t.co/2mOoopRjpF",0,0,0
"850895584496156677","@JaydenMedia_NL tweeted: 1 van de 4 #autobranden #Delft https://t.co/Nmbkev1nta",0,0,0
"850850254199115783","@haagsblondjuh tweeted: RT @asmedianl: Meerdere auto's in de brand in een korte tijd Vorrinkplein #Delft Zuid-Holland Brand https://t.co/J1Df9Os5Kx https://t.co/V8…",0,0,0
"850845324528816128","@_Delft tweeted: 8 april Meerdere auto´s in brand gestoken Gildestraat #Delft Omstreeks vijf over half twaalf werd de #brandweer va… https://t.co/zfCkL8NwGF",0,0,0
"850844726282661888","@ReinierKr tweeted: RT @MindelBlokhuize: Nog steeds #Vermist Britney 16 jr uit #Leiden! 5 april 14.53 in #Delft in trein gestapt om #Leiden te gaan. Uitgecheck…",0,0,0
"850837422606778368","@FranckFerrand tweeted: RT @mariannegrard: A l'occasion de l'expo #Vermeer au @MuseeLouvre,@FranckFerrand &amp; #SergeLegat ns parlent du peintre de #Delft:       \nhtt…",0,0,0
"850830824899567617","@DesireeKersten tweeted: RT @RedactieD8: Drie personenauto's in brand op de #Nijverheidsdwarstraat in #Delft. Brandweer is bezig met het blussen van de voertuigen.…",0,0,0
"850829175107665920","@abeaten_ tweeted: RT @DelftTreasures: #InternationalCatDay #Rijksmuseum @Delftsaardewerk In #Holland #Delft even the cats have a #blue colour, 1760.E.v.D htt…",0,0,0
"850947214709063680","@_Delft tweeted: Toen in #Delft: ´Voor iets goed naar Bervoets´ Op de plek waar nu al jaren fietsenwinkel Halfords zit, zat vroeger… https://t.co/dp4ZrAuu8o",0,0,0
"850940488496631808","@peterbosch1963 tweeted: RT @MindelBlokhuize: Nog steeds #Vermist Britney 16 jr uit #Leiden! 5 april 14.53 in #Delft in trein gestapt om #Leiden te gaan. Uitgecheck…",0,0,0
